epoch,train_loss,val_loss,train_miou,val_miou,epoch_time_sec
1,0.8234181533689084,0.835332969824473,0.08918400018368339,0.08987906120184595,113.59
2,0.741580858502699,0.8076664308706919,0.11204287663118698,0.10469576658924074,107.28
3,0.7262741236583047,0.7746714999278387,0.15061311507756245,0.1348409698201965,109.39
4,0.7073234999957292,0.776194786032041,0.12777658830917973,0.11956194813683366,105.53
5,0.6901037437112435,0.7410897314548492,0.1594615131937765,0.1540102551542094,112.89
6,0.6860617476960887,0.7575199604034424,0.1424113050007427,0.14319590649074448,113.76
7,0.6461376175284386,0.72652135292689,0.16975860333308787,0.16662604576434753,111.27
8,0.6190950711784156,0.66647802790006,0.2350214055230338,0.21819751396980994,111.26
9,0.6348304683747499,0.678180381655693,0.21438778797674263,0.20312389337759154,108.15
10,0.616674581947534,0.6649585366249084,0.23875679515885279,0.21652164210038646,106.84
11,0.6040348640602567,0.7576965938011805,0.12987097915326534,0.1381844467887754,103.31
12,0.6137485280632973,0.6574331124623617,0.2370763130001222,0.21956934606993905,104.5
13,0.5972785113946252,0.6578255295753479,0.23057436925152258,0.2135107147584992,104.69
14,0.5889462125690087,0.6481870114803314,0.25936786334655226,0.22789959945320154,101.23
15,0.592487589172695,0.6224126468102137,0.2804747708168195,0.2523002535033922,100.08
16,0.5908761873193409,0.635855828722318,0.26350592952647633,0.23729076366454457,100.28
17,0.5746305144351461,0.6436720391114553,0.2570636139892256,0.23460449156854774,97.58
18,0.5722566875426666,0.6619120935599009,0.24796626068930175,0.21193078895390474,98.48
19,0.5619004747789839,0.6497490853071213,0.26296647015442554,0.22225386364071512,101.25
20,0.5560991994064787,0.6399874985218048,0.270040592984793,0.23269626706063748,103.56
21,0.5570991884755052,0.6419333616892496,0.2802679667067028,0.23776726762955985,101.7
22,0.5353201420410819,0.6447579363981882,0.2698615154892458,0.22983109751614111,101.49
23,0.5503578944050748,0.6480783323446909,0.2684390849518958,0.22577046619522675,101.21
24,0.5606868199032286,0.6197094271580378,0.29862288945190246,0.25414137631673983,99.96
25,0.5202848172706106,0.6513094455003738,0.2682885952500794,0.22450671760409385,102.5
26,0.5194937295239904,0.6154824495315552,0.3178679189509249,0.2577763292433534,100.28
27,0.5253293089892553,0.6326481501261393,0.2869057165918347,0.2385523719921942,101.65
28,0.5254205138139103,0.6336099803447723,0.29532757098873913,0.2407164008655959,99.64
29,0.5149903333057528,0.6318160593509674,0.31306191104189696,0.23117483278359682,97.91
30,0.5063178629978843,0.6020029485225677,0.3406455061262662,0.2718253503812433,98.66
31,0.5187199355467506,0.6424999584754308,0.2926111180647159,0.22296601936826663,101.05
32,0.5177911762957987,0.6208910445372263,0.3210421933031361,0.2537080289384642,100.17
33,0.5039029179707818,0.6231544117132822,0.3109318615545982,0.24812407222044258,99.04
34,0.5097487176889959,0.6009930868943533,0.3418294256556571,0.27232599787557765,100.07
35,0.5030903628338939,0.6135820001363754,0.330486560927712,0.2587721222146574,101.42
36,0.488395259756109,0.6064685036738714,0.34899128587329603,0.2682301786379498,98.9
37,0.4985328339364218,0.6004626254240671,0.35163482328420825,0.27418056336008906,99.1
38,0.48259591246428696,0.657024030884107,0.292527283025624,0.21814932216641406,99.46
39,0.4836368055447288,0.6195604999860128,0.3222777068545613,0.2527766831301491,97.67
40,0.4772043853350308,0.6333741645018259,0.3180373289445861,0.2408617642029729,97.94
41,0.4881171363851298,0.6044642130533854,0.35107862387053484,0.26795528011416714,97.41
42,0.4820110810839612,0.6099385023117065,0.3499071185631071,0.2648747576917221,97.47
43,0.4600061042153317,0.6166772892077764,0.34091022539719384,0.25600826794793086,97.88
44,0.47592073938120966,0.6001624514659246,0.3599296659106604,0.2728570188611881,98.28
45,0.4769463493772175,0.5924239208300909,0.3696853156832113,0.27860551683048174,99.12
46,0.4566516344961913,0.6443061381578445,0.32983095029111353,0.22059961315241838,102.84
47,0.47159221671197726,0.6051789671182632,0.3693002391910361,0.2706489731217367,99.37
48,0.463397144947363,0.5995253026485443,0.37859382464724245,0.2733071776123,100.66
49,0.45640248675709183,0.611780121922493,0.363557317164057,0.2600425895972932,99.56
50,0.45785751161368,0.5916037013133367,0.36770150470982543,0.2771629896669344,100.55
