epoch,dataset,class,precision,recall,iou,f1
1,Train,0,0.5593154244487178,0.767407114694226,0.47824254310826864,0.6470420456144995
1,Val,0,0.5047834851103393,0.7415392762333052,0.42925941828256764,0.6006739005493742
1,Train,1,0.7370301868367547,0.4522868883609147,0.3894410720165334,0.5605722712325375
1,Val,1,0.7138954798606811,0.4661191413142864,0.39275145445737675,0.5639935968073109
1,Train,2,0.47559115642840066,0.6278846424275902,0.37101682279608783,0.541228689925438
1,Val,2,0.4298608160706257,0.7318269231488401,0.3713637412623498,0.5415977204176997
1,Train,3,0.0,0.0,0.0,0.0
1,Val,3,0.0,0.0,0.0,0.0
1,Train,4,0.4201482053261276,0.5070806571100198,0.29831285872222313,0.45953924510701577
1,Val,4,0.524907024649684,0.5855781126783927,0.3827292081385139,0.5535851885377506
1,Train,5,0.0,0.0,0.0,0.0
1,Val,5,0.0,0.0,0.0,0.0
1,Train,6,0.0,0.0,0.0,0.0
1,Val,6,0.0,0.0,0.0,0.0
1,Train,7,0.0,0.0,0.0,0.0
1,Val,7,0.0,0.0,0.0,0.0
1,Train,8,0.0,0.0,0.0,0.0
1,Val,8,0.0,0.0,0.0,0.0
1,Train,9,0.0,0.0,0.0,0.0
1,Val,9,0.0,0.0,0.0,0.0
1,Train,10,0.0,0.0,0.0,0.0
1,Val,10,0.0,0.0,0.0,0.0
1,Train,11,0.0,0.0,0.0,0.0
1,Val,11,0.0,0.0,0.0,0.0
1,Train,12,0.0,0.0,0.0,0.0
1,Val,12,0.0,0.0,0.0,0.0
1,Train,13,0.0,0.0,0.0,0.0
1,Val,13,0.0,0.0,0.0,0.0
1,Train,14,0.0,0.0,0.0,0.0
1,Val,14,0.0,0.0,0.0,0.0
1,Train,15,0.15693379540315958,0.20855519758091048,0.09835735869398873,0.1790990067564613
1,Val,15,0.1936399757238367,0.23617568459069654,0.11907087969792925,0.21280310137243796
1,Train,16,0.0,0.0,0.0,0.0
1,Val,16,0.0,0.0,0.0,0.0
1,Train,17,0.0,0.0,0.0,0.0
1,Val,17,0.0,0.0,0.0,0.0
1,Train,18,0.12449174058047224,0.012957894400752111,0.011875681546574868,0.023472608145738642
1,Val,18,0.15281185473094222,0.01377767361993274,0.012799969070895685,0.02527639947359802
1,Train,19,0.3770870149852054,0.17612885548850052,0.136433666789991,0.2401084521002863
1,Val,19,0.33409633194483085,0.10908992471115435,0.08960655312728578,0.16447505909033663
2,Train,0,0.589195708169285,0.7913526463323102,0.5099730164902305,0.6754730147186588
2,Val,0,0.5143268653127905,0.7756405253231382,0.4477185804931718,0.618516033509606
2,Train,1,0.9134113145937086,0.7799496141150062,0.726252730093317,0.8414210887478022
2,Val,1,0.9089401680357442,0.7688833632489462,0.7138931707875629,0.8330661195232357
2,Train,2,0.5546808685089922,0.8920054727347612,0.5197754251989473,0.6840160894666876
2,Val,2,0.4808169899470099,0.8788907846382896,0.45093974163197453,0.6215829994543034
2,Train,3,0.3333333322222222,5.104514943467236e-06,5.104462831853629e-06,1.0208873246629622e-05
2,Val,3,0.4999999975,1.887326601868097e-05,1.8872909825233295e-05,3.7745106535579585e-05
2,Train,4,0.4771418082344018,0.2789725240245221,0.21365716276986957,0.3520881621240126
2,Val,4,0.469473896993342,0.2752110057316778,0.209924407500065,0.3470041655161541
2,Train,5,0.038271283519817054,0.00023824496120010245,0.00023682709688644483,0.00047354192321736184
2,Val,5,0.050980392156362936,0.00038609178589722634,0.0003833366506697051,0.0007663793707826906
2,Train,6,0.0,0.0,0.0,0.0
2,Val,6,0.0,0.0,0.0,0.0
2,Train,7,0.0,0.0,0.0,0.0
2,Val,7,0.0,0.0,0.0,0.0
2,Train,8,0.0,0.0,0.0,0.0
2,Val,8,0.0,0.0,0.0,0.0
2,Train,9,0.0,0.0,0.0,0.0
2,Val,9,0.0,0.0,0.0,0.0
2,Train,10,0.0,0.0,0.0,0.0
2,Val,10,0.0,0.0,0.0,0.0
2,Train,11,0.0,0.0,0.0,0.0
2,Val,11,0.0,0.0,0.0,0.0
2,Train,12,0.0,0.0,0.0,0.0
2,Val,12,0.0,0.0,0.0,0.0
2,Train,13,0.0,0.0,0.0,0.0
2,Val,13,0.0,0.0,0.0,0.0
2,Train,14,0.0,0.0,0.0,0.0
2,Val,14,0.0,0.0,0.0,0.0
2,Train,15,0.30142917910879735,0.0717911193267262,0.061550474973530646,0.11596334752879743
2,Val,15,0.3639012957148382,0.09201189717442004,0.07926343540707571,0.1468843121487097
2,Train,16,0.0,0.0,0.0,0.0
2,Val,16,0.0,0.0,0.0,0.0
2,Train,17,0.0,0.0,0.0,0.0
2,Val,17,0.0,0.0,0.0,0.0
2,Train,18,0.23738214849387784,0.20547343578999644,0.12377117119070971,0.22027824092465925
2,Val,18,0.2519836530297979,0.19176712544790098,0.12220203871279214,0.21778972367421082
2,Train,19,0.2909552120663844,0.10822008802145816,0.08563562034741624,0.15776125358653606
2,Val,19,0.3188261690524623,0.08171840532640628,0.06957174769167773,0.13009271440629652
3,Train,0,0.6916048036938973,0.8284975187777612,0.6049911745787968,0.7538872240311594
3,Val,0,0.5751929557401113,0.7747073881346821,0.4927669292189658,0.660206112452387
3,Train,1,0.8420691201014221,0.8795851416320074,0.7550300624974791,0.8604183760106632
3,Val,1,0.8101410995268603,0.867854879534299,0.7211785013068984,0.8380054671394592
3,Train,2,0.6727445075105177,0.820372867279563,0.5863705254788305,0.7392604843999905
3,Val,2,0.6027446901608996,0.8335660841538143,0.5379982292049839,0.699608380872307
3,Train,3,0.07462686567040419,0.00022970317245602564,0.00022905076273902825,0.000457996559819445
3,Val,3,0.09090909089990817,0.00016985939416812876,0.0001695713612811739,0.0003390851861895501
3,Train,4,0.5537791085806786,0.5873256200465936,0.39865935935477553,0.5700592545207814
3,Val,4,0.5770279837333152,0.593296062590012,0.4134764651462721,0.5850489510208756
3,Train,5,0.23390301431858912,0.34410027681794936,0.16177549662869173,0.2784969975684153
3,Val,5,0.1890919758676467,0.3302198495726758,0.13667331466975188,0.24047949445816139
3,Train,6,0.14392059552992753,0.0003129113705517861,0.0003123300359179373,0.0006244649893543465
3,Val,6,0.15384615382248523,0.00019262626651766527,0.0001924224056648786,0.0003847707478331258
3,Train,7,0.0,0.0,0.0,0.0
3,Val,7,0.0,0.0,0.0,0.0
3,Train,8,0.0,0.0,0.0,0.0
3,Val,8,0.0,0.0,0.0,0.0
3,Train,9,0.0,0.0,0.0,0.0
3,Val,9,0.0,0.0,0.0,0.0
3,Train,10,0.0,0.0,0.0,0.0
3,Val,10,0.0,0.0,0.0,0.0
3,Train,11,0.49999999875,1.9350781287792623e-05,1.9350406842301987e-05,3.870006404862976e-05
3,Val,11,0.0,0.0,0.0,0.0
3,Train,12,0.0,0.0,0.0,0.0
3,Val,12,0.0,0.0,0.0,0.0
3,Train,13,0.06382978722046175,1.0883090217189809e-05,1.0881353350186946e-05,2.1762466486376538e-05
3,Val,13,0.0,0.0,0.0,0.0
3,Train,14,0.07602339181064259,7.720608977880226e-05,7.713371128851636e-05,0.0001542555040060076
3,Val,14,0.16666666664351854,0.00011459676264144443,0.00011453113815317447,0.00022903603081474746
3,Train,15,0.2963418390078992,0.1305144064225404,0.09963661797248118,0.18121734763979705
3,Val,15,0.36419960528646167,0.13329755235762936,0.10813429072134179,0.19516459233002303
3,Train,16,0.0,0.0,0.0,0.0
3,Val,16,0.0,0.0,0.0,0.0
3,Train,17,0.0,0.0,0.0,0.0
3,Val,17,0.0,0.0,0.0,0.0
3,Train,18,0.3312878953904581,0.26494578600945407,0.17262571588040582,0.29442593770089537
3,Val,18,0.3137916476744192,0.2043073162611789,0.1412147090013561,0.24748139883212011
3,Train,19,0.5261129923313231,0.29412735307766674,0.2325246028896502,0.3773143343502624
3,Val,19,0.4396840124408595,0.17771679958694347,0.14490043222926108,0.2531231988447744
4,Train,0,0.7328836590468641,0.5091903314398357,0.42948404091878084,0.6008937842844869
4,Val,0,0.6246883182129137,0.44992451913054626,0.3541837363628756,0.523095535053814
4,Train,1,0.8867181636764122,0.7958291711705835,0.7223840919753594,0.8388188105633038
4,Val,1,0.8876972931415257,0.7974462941951018,0.7243683625663686,0.8401550086313778
4,Train,2,0.46925923084152804,0.827659810307203,0.4274885099813152,0.5989379300723415
4,Val,2,0.40709360418183177,0.7608378730339854,0.3609094666924488,0.5303945228325023
4,Train,3,0.11111111110960555,0.00041857022536431336,0.00041717329480413625,0.0008339985928580159
4,Val,3,0.13599999998912002,0.00032084552231757656,0.00032019286911639573,0.0006401807099580381
4,Train,4,0.4161104541949627,0.31813693121093617,0.2199489934068601,0.3605871911038738
4,Val,4,0.40417034670607954,0.39960105351214825,0.2514647709275795,0.4018727073118206
4,Train,5,0.1838532255822715,0.45020518239514873,0.15014269344691075,0.2610853278195909
4,Val,5,0.16178230173806568,0.4236540617598046,0.13259852107995249,0.23414919999818273
4,Train,6,0.04943273905976729,0.0006581928828847915,0.0006499664361594096,0.0012990882490447023
4,Val,6,0.09494949494757678,0.0009053434526330267,0.000897597494365972,0.0017935848841510065
4,Train,7,0.0,0.0,0.0,0.0
4,Val,7,0.0,0.0,0.0,0.0
4,Train,8,0.0,0.0,0.0,0.0
4,Val,8,0.0,0.0,0.0,0.0
4,Train,9,0.0,0.0,0.0,0.0
4,Val,9,0.0,0.0,0.0,0.0
4,Train,10,0.0,0.0,0.0,0.0
4,Val,10,0.0,0.0,0.0,0.0
4,Train,11,0.1102035067952573,0.030283972715395454,0.024333926780534077,0.04751170377594945
4,Val,11,0.11153899051009278,0.026626830389379925,0.02196760387886073,0.04299079971915446
4,Train,12,0.0,0.0,0.0,0.0
4,Val,12,0.0,0.0,0.0,0.0
4,Train,13,0.0685670261936166,0.000322865009776631,0.0003214551443658549,0.0006427035950304459
4,Val,13,0.06784660766761515,0.00030420463713673283,0.0003029385034837529,0.0006056934302037336
4,Train,14,0.15898584224206913,0.013071584892549521,0.012226181581848697,0.024157013706471754
4,Val,14,0.17075940383226293,0.011488325454804806,0.010881264867895214,0.021528273693463416
4,Train,15,0.25854290995112017,0.18437306044086918,0.12060375524028848,0.21524781075087265
4,Val,15,0.2828931460516311,0.21846633792894996,0.14060212924276058,0.2465401787943132
4,Train,16,0.0,0.0,0.0,0.0
4,Val,16,0.0,0.0,0.0,0.0
4,Train,17,0.0,0.0,0.0,0.0
4,Val,17,0.0,0.0,0.0,0.0
4,Train,18,0.3112933659822582,0.362891693619113,0.20128634253005276,0.3351180021251135
4,Val,18,0.3109056534553957,0.32668341466405815,0.1894844691577743,0.3185993110444719
4,Train,19,0.31591336181942514,0.5275437604958956,0.2462446354463145,0.3951786439404155
4,Val,19,0.2948811805487505,0.39546616293633496,0.20325790909319133,0.3378459507522987
5,Train,0,0.7723988040078478,0.3225142012301457,0.2945242083989291,0.4550308195059015
5,Val,0,0.5969704389151078,0.277620416192029,0.2337997038408948,0.3789913394205151
5,Train,1,0.9130196029120338,0.8283633858260856,0.7677741255262349,0.8686337355330294
5,Val,1,0.9143557164848936,0.8201548085716741,0.7616446309460951,0.8646972416291802
5,Train,2,0.6984725381463379,0.7472331090526763,0.5649826108025793,0.7220305235274527
5,Val,2,0.6259689157973858,0.7477569527918448,0.5168342343748923,0.681464353717734
5,Train,3,0.08106412252982048,0.10947142747759835,0.04885026707515577,0.09315012074609964
5,Val,3,0.07702071107526214,0.09734830612435645,0.04493187915954869,0.085999628260662
5,Train,4,0.47650153848722954,0.6804950833014075,0.38938574288924865,0.5605149491659924
5,Val,4,0.49615978838331487,0.6609815381446638,0.3955099656612621,0.5668321573839217
5,Train,5,0.2646653004731579,0.39979125203398963,0.18940605021936852,0.318488454525506
5,Val,5,0.21811638871764913,0.38882412776665287,0.16242823511895949,0.27946367360244356
5,Train,6,0.09701415201269314,0.3232374457799951,0.08063556664540107,0.14923729556111265
5,Val,6,0.09491002818393665,0.30357899603184046,0.0779403182892655,0.14460970614228466
5,Train,7,0.0,0.0,0.0,0.0
